links,name,type,genres,features,price,developer,publisher,release_date,platform,os requirements,processor required,memory,storage,direct x,languages supported
Opera GX - The First Browser for GamersFree,Opera GX - The First Browser for Gamers,Software,null,null,Free,DeveloperOpera GX,PublisherOpera GX,Release Date01/25/22,Initial Release06/11/19,Windows 7+,2Ghz,2GB,null,null,"AUDIO: EnglishTEXT: Arabic, English, Chinese - Simplified, Chinese - Traditional, Czech, Danish, Dutch, Finnish, French, German, Greek, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese, Portuguese - Brazil, Romanian, Russian, Spanish - Spain, Spanish - Latin America, Swedish, Thai, Turkish, Vietnamese, Ukrainian, Bulgarian"
DiscordFree,Discord,Software,null,null,Free,DeveloperDiscord,PublisherDiscord,Release Date06/10/21,Initial Release05/13/15,Windows 7 and above,2GHz,4 GB RAM,null,null,"AUDIO: English | TEXT: English, French, German, Japanese, Italian, Korean, Portuguese, Russian, Spanish - Spain, Spanish - Latin America, Dutch, Swedish"
HumbleFree,Humble,Software,null,null,Free,DeveloperHumble,PublisherHumble,Release Date02/10/22,PlatformWindowsWindows,Windows 7,Intel Pentium 4,1GB,300MB,null,Audio: EnglishText: English
KenShape₹89,KenShape,Software,null,null,₹89,DeveloperKenney,PublisherKenney,Release Date04/22/21,Initial Release02/24/21,Windows 7 (SP1+),3.0 GHz Dual Core Processor,2 GB RAM,DirectX 10,null,English
Beyond TypicalsFree,Beyond Typicals,Software,Simulation,Single Player,Free,DeveloperBeyond CAD,PublisherBeyond CAD,Release Date03/24/22,Platform,Windows 10 64 bit,"Quad-core Intel or AMD, 2.5 GHz or faster",4 GB RAM,6 GB,DirectX 11,AUDIO: EnglishTEXT: English
Itch.ioFree,Itch.io,Software,null,null,Free,Developeritch.io,Publisheritch.io,Release Date04/22/21,Initial Release03/03/13,Windows 10,64 Bit Dual Core 2GHz CPU,6GB,200MB,null,English
BraveFree,Brave,Software,null,null,Free,"DeveloperBrave Software, Inc.","PublisherBrave Software, Inc.",Release Date04/22/21,Initial Release11/13/19,Windows 7+,2 Ghz,2 GB,null,null,"AUDIO: EnglishTEXT: Arabic, Chinese - Simplified, Chinese - Traditional, French, German, Portuguese, Polish, Russian, Spanish - Spain, Spanish - Latin America, Thai, English, Japanese, Italian, Korean, Portuguese - Brazil, Bulgarian, Dutch, Finnish, Greek, Hungarian, Danish, Czech, Norwegian, Swedish, Turkish, Ukrainian, Vietnamese, Romanian"
N0va DesktopFree,N0va Desktop,Software,Application,Single Player,Free,Developer COGNOSPHERE PTE. LTD.,Publisher COGNOSPHERE PTE. LTD.,Release Date01/27/22,PlatformWindowsWindows,"Windows 7 (with Aero), Windows 10 (Windows 8 is currently unsupported)",1.66GHz Intel i5 or equivalent,1GB,746MB,DirectX 11,"Text: English, Chinese - Simplified"
Krita₹239,Krita,Software,Application,null,₹239,DeveloperKrita Team,PublisherKrita Project,Release Date04/22/21,Initial Release06/21/05,Windows 8,Core i3,8GB,500MB,null,"AUDIO: EnglishTEXT: English, Arabic, Bulgarian, Chinese - Simplified, Chinese - Traditional, Czech, Danish, Dutch, Finnish, French, German, Greek, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese, Portuguese - Brazil, Romanian, Russian, Spanish - Spain, Spanish - Latin America, Swedish, Turkish, Ukrainian"
Spotify Music and PodcastsFree,Spotify Music and Podcasts,Software,Party,null,Free,DeveloperSpotify AB,PublisherSpotify AB,Release Date12/17/20,PlatformWindowsWindowsMac OSMac OS,Windows 7+,2 Ghz,2 GB,null,null,"AUDIO: Arabic, English, Chinese - Traditional, Hungarian, Czech, Spanish - Spain, Spanish - Latin America, Finnish, French, German, Greek, Italian, Japanese, Dutch, Polish, Russian, Swedish, Thai, Turkish, Vietnamese, Portuguese - BrazilTEXT: Arabic, English, Chinese - Traditional, Czech, Hungarian, German, Spanish - Spain, Spanish - Latin America, Finnish, French, Greek, Dutch, Italian, Japanese, Portuguese - Brazil, Polish, Russian, Swedish, Thai, Turkish, Vietnamese"
Beyond CADFree,Beyond CAD,Software,Simulation,Single Player,Free,DeveloperBeyond CAD,PublisherBeyond CAD,Release Date04/01/22,PlatformWindowsWindows,Windows 10,"Quad-core Intel or AMD, 2.5 GHz or faster",8 GB RAM,70 GB,DirectX 11,AUDIO: EnglishTEXT: English