links,name,type,genres,features,Developer,publisher,release date,initial release in windows,os recommended,cpu,memory,gpu,directx,storage,language,price
System Shock Demo,System Shock,Base Game,Horror,Single Player,Nightdive Studios,Prime Matter,AvailableComing Soon,PlatformWindowsWindows,Windows 7 Service Pack 1 (64-Bit),Intel Core i5-2400/AMD FX-8320,4GB,8GB,DirectX 11,NVIDIA GTX 670/AMD Radeon HD 7870,null,₹959
Read Only Memories: NEURODIVER Pilot Memory,Read Only Memories: NEURODIVER,Base Game,Indie,Single Player,"MidBoss, LLC.","MidBoss, LLC.",AvailableComing Soon,PlatformWindowsWindowsMac OSMac OS,Windows 7 SP1+,1.1+ GHz Processor,2GB,"MidBoss, LLC.",10,Graphics card with DX10 (shader model 4.0) capabilities.,null,null
Crying Suns Demo,Demo,Demo,null,Achievements,Alt Shift,Humble Games,null,Initial Release09/18/19,Windows 7,Dual-core 2.5 GHz or equivalent,4 GB,2 GB,10,"Dedicated GPU, 1 GB VRAM/ AMD HD5750 or equivalent",null,
Against The Storm- Royal Woodlands Demo,Against the Storm- Royal Woodlands Demo,Demo,null,null,Eremite Games,Eremite Games,null,Platform,Microsoft Windows 7/8,Intel i5,8GB,TBC,null,null,null,
Ghostrunner Demo,Ghostrunner Demo,Demo,ActionStrategyStealth,Single Player,One More Level and 3D Realms,505 Games,null,PlatformWindowsWindows,WIN7-64 bit,Intel i3-2100 / AMD A8-5600k,8 GB RAM,GeForce GTX 630 / Radeon HD 6570,null,null,null,
Football Manager 2022 Demo,Football Manager 2022 Demo,Demo,null,Achievements,Sports Interactive,SEGA,null,PlatformWindowsWindows,Windows 7 or Higher,Intel Core 2 or AMD Athlon 64 - 1.8GHz+,"Intel GMA X4500, NVIDIA GeForce 9600M GT, AMD/ATI Mobility Radeon HD 3650 - 256MB VRAM",4GB RAM,7GB,11,null,
SuchArt: Creative Space,SuchArt: Creative Space,Demo,SimulationFirst Person,Single Player,Voolgi,HypeTrain Digital,null,PlatformWindowsWindows,64-Bit Windows 7/8/10,Intel Core i5-2400 @ 3.1 GHz or AMD FX-6300 @ 3.5 GHz or equivalent,4 GB RAM,4 GB available space,Geforce 9600 GT or AMD HD 3870 512MB,null,null,
Hundred Days - Winemaking Simulator DEMO,Hundred Days - Winemaking Simulator DEMO,Demo,null,null,Broken Arms Games,Broken Arms Games,Release Date03/15/21,PlatformWindowsWindows,Windows 7,"Intel Core 2 Duo, 3.0GHz or AMD Athlon 64 X2 6400+, 3.2GHz",4 GB RAM,1 GB available space,11,NVIDIA® GeForce® GT 600 or AMD Radeon™ equivalent,null,
Ghost Recon Breakpoint - Trial Weekend,Trial Weekend,Demo,null,null,Ubisoft Paris,Ubisoft,Release Date03/26/20,PlatformWindowsWindows,Windows 7/8.1/10,AMD Ryzen 3 1200/Intel Core I5 4460,AMD Radeon R9 280X/Nvidia Geforce GTX 960 (4 GB),Ultimate Edition,null,null,null,
Ghost Recon Breakpoint Demo,Demo,Demo,null,null,Ubisoft Paris,Ubisoft,Release Date03/26/20,Platform,Windows 7/8.1/10,AMD Ryzen 3 1200/Intel Core I5 4460,AMD Radeon R9 280X/Nvidia Geforce GTX 960 (4 GB),Ultimate Edition,null,null,null,
Delores: A Thimbleweed Park mini-adventure,Delores: A Thimbleweed Park mini-adventure,Demo,PuzzleAdventureIndie,Single PlayerController Support,"Terrible Toybox, Inc.","Terrible Toybox, Inc.",Release Date05/09/20,PlatformWindowsWindows,Windows 10 (64-bit),2 GHz,12 or better,null,null,null,null,
Knockout City™ Trial,Knockout City™ Trial,Demo,Action,MultiplayerCompetitive,Velan Studios,Electronic Arts,Release Date05/21/21,PlatformWindowsWindows,Windows 10 64-bit,Intel Core i3 6300 Dual Core 3.8 GHz,8GB,15GB,Nvidia GeForce GTX 660,null,null,
Flat Heroes Demo,Flat Heroes Demo,Demo,ActionPlatformer,Co-opMultiplayerCompetitiveSingle PlayerController Support,Parallel Circles,Parallel Circles,Release Date09/02/21,PlatformWindowsWindows,Windows 7,2Ghz,2 GB RAM,DirectX® 9.0c Compatible,DirectX 9,400mb,"Text: English, Bulgarian, Catalan, Czech, Danish, Dutch, Finnish, French, German, Greek, Italian, Norwegian, Romanian, Russian, Spanish, Swedish, Ukrainian",
The Last Friend: First Bite,The Last Friend: First Bite,Demo,FightingStrategy,Single PlayerController Support,"The Stonebot Studio, Ludus Games",Skystone Games Inc.,Release Date09/09/21,PlatformWindowsWindows,Windows 7 or higher (64 bit),2.6 GHz Intel® Core™ i5-750 or 3.2 GHz AMD Phenom™ II X4 95,4GB,4 GB,10,OpenGL 3.0 compliant video card,null,
UnMetal Demo,UnMetal Demo,Demo,ActionAction-AdventureStealthAdventure,Single Player,UnEpic Fran,Versus Evil,Release Date09/15/21,Initial Release09/03/21,Windows 7,Intel Core i3,4 GB,400 MB,DirectX 9,OpenGL 256 MB,null,
Bonfire Peaks Demo,Bonfire Peaks,Base Game,PuzzleAdventureIndie,Single Player,Corey Martin,Draknek & Friends,Release Date09/30/21,PlatformWindowsWindowsMac OSMac OS,Windows 7+,1.8 GHz,8 GB RAM,500 MB Available Space,Version 9.0c,Intel HD Graphics 3000,null,₹469
Ghost Recon Breakpoint Open Beta,Ghost Recon Breakpoint,Base Game,ShooterOpen World,Controller SupportCo-opSingle Player,Ubisoft Paris,Ubisoft,Release Date10/04/19,PlatformWindowsWindows,Windows 7/8.1/10,AMD Ryzen 3 1200/Intel Core I5 4460,AMD Radeon R9 280X/Nvidia Geforce GTX 960 (4 GB),"Tom Clancy’s Ghost Recon BreakpointBecome an elite spec ops soldier known as a Ghost, tasked with a special mission to Auroa. The remote archipelago somewhere in the South Pacific has lost contact with outside world due to Skell Technology turning hostile. The Wolves, a rogue spec ops team, led by your ex–brother-in-arms, have taken over and are hunting you down. Lead your team through the island landscape and save the civilians without being noticed.Tailor your experience to fit your playstyle:Solo, as the leader of up 3 fully customizable AI teammates.Or, play in co-op PvE with up to 3 friends.Upgrade to the Deluxe Edition, Gold Edition, or Ultimate Edition to get the most out of your experience.",null,null,null,"₹2,999"
Beyond Two Souls DEMO,Demo,Demo,null,null,Quantic Dream,Quantic Dream,Release Date10/16/19,Platform,Windows 7 or later (64 bit),i5-4430 @ 3.0 GHz or AMD Ryzen 5 1600x @ 3.6 GHz,4GB,Nvidia GeForce GTX 660 with 2GB or AMD Radeon HD 7870 with 2GB,11,null,null,
Heavy Rain DEMO,Demo,Demo,ActionNarration,Single Player,Quantic Dream,Quantic Dream,Release Date10/16/19,PlatformWindowsWindows,Windows 7 or later (64 bit),i5-4430 @ 3.0 GHz or equivalent,4GB RAM,Nvidia GeForce GTX 660 with 2GB or AMD Radeon HD 7870 with 2GB,11,null,null,
HUMANKIND™ Demo,HUMANKIND™ Demo,Demo,null,null,AMPLITUDE Studios,SEGA,Release Date11/18/21,Platform,OS: Win 7 64-bit,Intel i5 4th generation / AMD FX-8300,8GB,25GB,11,NVIDIA GTX 770 / AMD R9 290,null,
Startup Panic DEMO,Startup Panic,Base Game,IndieSimulationStrategy,Single Player,Algo Rocks,tinyBuild,Release Date12/03/20,PlatformWindowsWindows,Windows 7+ (64 bits),2 GHz Dual Core,4GB,"Living The DreamManage your time as a bedroom programmer. Pick projects, contract-work and vacation days to get by, then start to build some passive income through your startup.Beware though: Once you start hiring your first employees and upgrading your office, you'll attract the attention of competing businesses...Don't Panic!You decide how each project goes and what to focus onSpend a week training your staff, or earning money, or building features... but choose wisely!Upgrade your company in the skill tree: Will you take longer vacations or cheaper air-co?Hunt for new employees and hire the ones that fit your style: Social butterfly? Marketing expert? Lone Wolf?Compete with rival CEOs for new users in your region, and then expand out by building new headquarters on a world map!Hurting for cash? You can take out a loan or search for investors, but don't think it'll come for free...",null,null,null,₹349
Chorus Demo,Chorus DEMO,Demo,ActionShooterAdventure,Single Player,Deep Silver Fishlabs,Deep Silver,Release Date12/03/21,PlatformWindowsWindows,Windows 10,Intel Core i3-2120 | AMD FX-4100,8,36,12,Intel Iris Xe Graphics | GeForce GTX 750 | Radeon HD 7770,null,
Hello Neighbor: Hide and Seek Demo,Demo,Demo,null,null,tinyBuild Games,tinyBuild Games,Release Date12/11/18,Platform,Windows 7 or later (64-Bit),i5,8 GB,GTX 960,null,null,null,
Detroit: Become Human DEMO,Detroit: Become Human DEMO,Demo,null,null,Quantic Dream,Quantic Dream,Release Date12/12/19,Platform,Windows 10 (64 bit),Intel Core i5-2300 @ 2.8 GHz or Ryzen 3 1200 @ 3.1GHz or AMD FX-8350 @ 4.2GHz,8GB RAM,Nvidia GeForce GTX 780 or AMD HD 7950 (Support of Vulkan 1.1 required),3GB or more,null,null,
No Straight Roads -  Mother & Child DEMO,No Straight Roads -  Mother & Child DEMO,Demo,ActionMusicAdventure,Single Player,Metronomik,Fireshine Games,Release Date12/31/20,PlatformWindowsWindows,Coming Soon,Coming Soon,Coming Soon,Coming Soon,Coming Soon,null,null,